81: delay_rewiring_to_first_solution='0', drop_unconnected_samples_on_prune='1', prune_threshold_as_fractional_cost_change='25', rewire_factor='116', samples_per_batch='172', stop_on_each_solution_improvement='1', use_graph_pruning='0', use_k_nearest='1'
82: delay_rewiring_to_first_solution='1', drop_unconnected_samples_on_prune='0', prune_threshold_as_fractional_cost_change='80', rewire_factor='179', samples_per_batch='671464', stop_on_each_solution_improvement='1', use_graph_pruning='0', use_k_nearest='0'
83: delay_rewiring_to_first_solution='0', drop_unconnected_samples_on_prune='0', prune_threshold_as_fractional_cost_change='2', rewire_factor='165', samples_per_batch='100', stop_on_each_solution_improvement='1', use_graph_pruning='0', use_k_nearest='1'
84: delay_rewiring_to_first_solution='0', drop_unconnected_samples_on_prune='0', prune_threshold_as_fractional_cost_change='36', rewire_factor='180', samples_per_batch='748239', stop_on_each_solution_improvement='1', use_graph_pruning='1', use_k_nearest='0'
85: delay_rewiring_to_first_solution='0', drop_unconnected_samples_on_prune='1', prune_threshold_as_fractional_cost_change='88', rewire_factor='210', samples_per_batch='410', stop_on_each_solution_improvement='1', use_graph_pruning='0', use_k_nearest='1'
86: delay_rewiring_to_first_solution='0', drop_unconnected_samples_on_prune='0', prune_threshold_as_fractional_cost_change='15', rewire_factor='294', samples_per_batch='290200', stop_on_each_solution_improvement='1', use_graph_pruning='1', use_k_nearest='1'
87: delay_rewiring_to_first_solution='1', drop_unconnected_samples_on_prune='1', prune_threshold_as_fractional_cost_change='25', rewire_factor='198', samples_per_batch='172', stop_on_each_solution_improvement='1', use_graph_pruning='0', use_k_nearest='1'
88: delay_rewiring_to_first_solution='1', drop_unconnected_samples_on_prune='1', prune_threshold_as_fractional_cost_change='10', rewire_factor='129', samples_per_batch='814740', stop_on_each_solution_improvement='1', use_graph_pruning='1', use_k_nearest='0'
89: delay_rewiring_to_first_solution='0', drop_unconnected_samples_on_prune='1', prune_threshold_as_fractional_cost_change='25', rewire_factor='115', samples_per_batch='172', stop_on_each_solution_improvement='1', use_graph_pruning='0', use_k_nearest='1'
90: delay_rewiring_to_first_solution='1', drop_unconnected_samples_on_prune='1', prune_threshold_as_fractional_cost_change='17', rewire_factor='282', samples_per_batch='944726', stop_on_each_solution_improvement='1', use_graph_pruning='1', use_k_nearest='0'
91: delay_rewiring_to_first_solution='1', drop_unconnected_samples_on_prune='1', prune_threshold_as_fractional_cost_change='25', rewire_factor='115', samples_per_batch='172', stop_on_each_solution_improvement='1', use_graph_pruning='0', use_k_nearest='1'
92: delay_rewiring_to_first_solution='0', drop_unconnected_samples_on_prune='1', prune_threshold_as_fractional_cost_change='19', rewire_factor='273', samples_per_batch='817222', stop_on_each_solution_improvement='1', use_graph_pruning='0', use_k_nearest='0'
93: delay_rewiring_to_first_solution='0', drop_unconnected_samples_on_prune='1', prune_threshold_as_fractional_cost_change='42', rewire_factor='114', samples_per_batch='91', stop_on_each_solution_improvement='1', use_graph_pruning='0', use_k_nearest='1'
94: delay_rewiring_to_first_solution='0', drop_unconnected_samples_on_prune='0', prune_threshold_as_fractional_cost_change='100', rewire_factor='116', samples_per_batch='882576', stop_on_each_solution_improvement='1', use_graph_pruning='1', use_k_nearest='1'
95: delay_rewiring_to_first_solution='0', drop_unconnected_samples_on_prune='1', prune_threshold_as_fractional_cost_change='42', rewire_factor='112', samples_per_batch='91', stop_on_each_solution_improvement='1', use_graph_pruning='0', use_k_nearest='1'
96: delay_rewiring_to_first_solution='1', drop_unconnected_samples_on_prune='1', prune_threshold_as_fractional_cost_change='92', rewire_factor='273', samples_per_batch='620717', stop_on_each_solution_improvement='1', use_graph_pruning='0', use_k_nearest='1'
97: delay_rewiring_to_first_solution='0', drop_unconnected_samples_on_prune='0', prune_threshold_as_fractional_cost_change='2', rewire_factor='200', samples_per_batch='100', stop_on_each_solution_improvement='1', use_graph_pruning='0', use_k_nearest='1'
98: delay_rewiring_to_first_solution='0', drop_unconnected_samples_on_prune='1', prune_threshold_as_fractional_cost_change='16', rewire_factor='297', samples_per_batch='716484', stop_on_each_solution_improvement='1', use_graph_pruning='1', use_k_nearest='1'
99: delay_rewiring_to_first_solution='0', drop_unconnected_samples_on_prune='0', prune_threshold_as_fractional_cost_change='2', rewire_factor='197', samples_per_batch='100', stop_on_each_solution_improvement='1', use_graph_pruning='0', use_k_nearest='1'
100: delay_rewiring_to_first_solution='1', drop_unconnected_samples_on_prune='0', prune_threshold_as_fractional_cost_change='79', rewire_factor='130', samples_per_batch='989650', stop_on_each_solution_improvement='1', use_graph_pruning='0', use_k_nearest='1'
